LOC_PID,NAME,LOC_CODE,LOC_DESC,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
WA3317,KARRAKATTA,G,GAZETTED LOCALITY,5,WA,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1288,KANGAROO FLAT,G,GAZETTED LOCALITY,2,VIC,0,5573,94,0,5461,198,8,5470,93,104,50000,1775
VIC2284,SHOREHAM,G,GAZETTED LOCALITY,2,VIC,0,0,693,0,693,0,0,693,0,0,0,4537
VIC2289,SIMPSONS CREEK,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2339,ST ARNAUD,G,GAZETTED LOCALITY,2,VIC,0,0,1462,0,1443,18,1,1456,6,0,7000,3147
QLD3266,WYALLA,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
QLD235,BENARKIN,G,GAZETTED LOCALITY,3,QLD,0,0,106,0,106,0,0,106,0,0,0,4537
VIC2281,SHEPPARTON EAST,G,GAZETTED LOCALITY,2,VIC,0,223,0,0,223,0,0,223,0,0,3000,3575
VIC2297,SLATY CREEK,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2314,SOUTH KINGSVILLE,G,GAZETTED LOCALITY,2,VIC,0,0,1199,0,1199,0,0,1199,0,0,0,4537
TAS225,GLADSTONE,G,GAZETTED LOCALITY,6,TAS,0,0,73,0,73,0,0,73,0,0,1000,3971
TAS244,GRANVILLE HARBOUR,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
TAS273,HILLWOOD,G,GAZETTED LOCALITY,6,TAS,0,0,236,0,227,7,2,227,7,2,13000,2747
TAS295,KAYENA,G,GAZETTED LOCALITY,6,TAS,0,0,107,0,75,21,11,75,21,11,43000,1895
TAS314,LAKE ST CLAIR,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1083,GRASSDALE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC109,BALLAPUR,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC1094,GREENHILL,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
NSW2723,MOONEE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW2760,MOSMAN,G,GAZETTED LOCALITY,1,NSW,0,0,16111,6,16111,0,0,16111,0,0,0,4537
NSW28,ALDAVILLA,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW2801,MOUNT MITCHELL,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
NSW2804,MOUNT OLIVE,G,GAZETTED LOCALITY,1,NSW,0,0,0,0,0,0,0,0,0,0,0,4537
QLD134,BALMORAL,G,GAZETTED LOCALITY,3,QLD,0,2500,0,0,1721,676,103,2407,93,0,438000,546
WA2380,MULLEWA,G,GAZETTED LOCALITY,5,WA,0,0,532,0,532,0,0,532,0,0,0,4537
SA171,BUCHFELDE,G,GAZETTED LOCALITY,4,SA,0,0,0,0,0,0,0,0,0,0,0,4537
NSW454,BOLTON POINT,G,GAZETTED LOCALITY,1,NSW,946,0,0,0,939,7,0,940,6,0,2000,3730
NSW472,BONDI JUNCTION,G,GAZETTED LOCALITY,1,NSW,0,0,4105,0,4105,0,0,4105,0,0,0,4537
VIC1279,KALKALLO,G,GAZETTED LOCALITY,2,VIC,0,0,110,0,108,1,1,108,1,1,9000,2994
VIC1280,KALKEE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2301,SMOKEYTOWN,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2307,SOLDIERS HILL,G,GAZETTED LOCALITY,2,VIC,0,0,1663,0,1656,6,1,1656,2,5,4000,3444
VIC2317,SOUTH PURRUMBETE,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
VIC2345,ST HELENS PLAINS,G,GAZETTED LOCALITY,2,VIC,0,0,0,0,0,0,0,0,0,0,0,4537
QLD3247,WOOROONOORAN,G,GAZETTED LOCALITY,3,QLD,0,0,0,0,0,0,0,0,0,0,0,4537
SA1017,ONE TREE HILL,G,GAZETTED LOCALITY,4,SA,0,0,140,113,140,0,0,140,0,0,0,4537
TAS25,BADGER HEAD,G,GAZETTED LOCALITY,6,TAS,0,0,0,0,0,0,0,0,0,0,0,4537
TAS27,BAKERS BEACH,G,GAZETTED LOCALITY,6,TAS,0,0,45,0,27,11,7,27,11,7,17000,2565
