GNAF_PID,LONGITUDE,LATITUDE,FULL_ADDRESS,LOCALITY,POSTCODE,STATE,RELIABILITY,IAG_COORDINATE,SOURCE_TYPE,AVERAGE_ANNUAL_DAMAGE,FLOOD_FREQUENCY
GANSW706158010,153.52765161,-28.18561062,22 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706168238,153.52946766,-28.18502131,93 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706148815,153.53269502,-28.18056840,35 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706182209,153.53353275,-28.18502056,43 KENNEDY DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706148106,153.52858095,-28.17895417,18 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW707663380,153.53263311,-28.18075915,37 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145241,153.53128528,-28.17826817,"UNIT 2, 20 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706141631,153.53047131,-28.17815353,"UNIT 1, 12 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706164727,153.53060688,-28.18642157,73 KENNEDY DRIVE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,H,H
GANSW707642020,153.52896032,-28.17831045,10 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706164841,153.52812560,-28.18164889,14 COMPASS WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW716998399,153.53172024,-28.18570111,"UNIT 4, 16 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706178993,153.52799219,-28.18601720,25 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW716897425,153.53172024,-28.18570111,"UNIT 2, 18 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW716897426,153.53172024,-28.18570111,"UNIT 3, 18 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW707666742,153.52892457,-28.18563931,88 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706165433,153.53135068,-28.18514806,"UNIT 8, 19 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706168227,153.52834554,-28.18492088,78 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706141482,153.52552094,-28.18257790,39 PARKES DRIVE,TWEED HEADS,2485,NSW,4,1,GOVERNMENT FLOOD MAPPING,M,L
GANSW718691107,153.52980309,-28.17532257,33 MURRABA CRESCENT,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706155482,153.52986288,-28.17801501,"UNIT 5, 6 MUGGA WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706168235,153.52909280,-28.18575010,90 COMPANION WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706178994,153.52814712,-28.18611551,26 MERIDIAN WAY,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706155049,153.52974486,-28.18401125,54 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706179277,153.53170776,-28.17976856,4 THE ANCHORAGE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706178997,153.52875512,-28.18641643,"UNIT 1, 29 MERIDIAN WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW706171844,153.52662847,-28.18568670,96 DUCAT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712363179,153.52731657,-28.18421510,"UNIT 1, 14 MERIDIAN WAY",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,L
GANSW712306685,153.53064600,-28.18599747,"UNIT 1, 26 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706134207,153.52924414,-28.17769736,"UNIT 1, 4 DUCAT STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW712295706,153.53064600,-28.18599747,"UNIT 2, 26 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,M,M
GANSW706135018,153.53096212,-28.18476473,"UNIT 7, 28 STANLEY STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706105805,153.53315149,-28.18243999,"UNIT 2, 14 ALVA STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145260,153.53178367,-28.18447543,18 STANLEY STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706141516,153.53327372,-28.18170502,"UNIT 1, 8 LEEWARD TERRACE",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706155061,153.53276122,-28.17816725,9 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706151896,153.53268108,-28.18465905,"UNIT 5, 5 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706141507,153.53402116,-28.17797711,44 LEEWARD TERRACE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706135239,153.53361428,-28.18116300,14 LEEWARD TERRACE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706175724,153.53268108,-28.18465905,5 MARGARET STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145523,153.53243551,-28.17694688,10 KENT STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706135235,153.53357331,-28.18138791,12 LEEWARD TERRACE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706144745,153.53299143,-28.17863648,15 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145265,153.53145919,-28.18457654,22 STANLEY STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706162191,153.53351926,-28.18445222,4 MCDONALD STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706144796,153.53145766,-28.18363424,69 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706172985,153.52973150,-28.17599173,11 MILES STREET,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145275,153.53045533,-28.17716033,13 MURRABA CRESCENT,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW715473440,153.53287559,-28.18459561,"UNIT 3, 3 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706145512,153.53399267,-28.17908488,"UNIT 2, 34 LEEWARD TERRACE",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706165467,153.53393251,-28.18253730,"UNIT 3, 4 SECOND AVENUE",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706165471,153.53364781,-28.18310722,5 SECOND AVENUE,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706151893,153.53268108,-28.18465905,"UNIT 2, 5 MARGARET STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706135019,153.53096212,-28.18476473,"UNIT 8, 28 STANLEY STREET",TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW706144749,153.53295705,-28.17900193,19 THE QUARTERDECK,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
GANSW712255944,153.53233201,-28.17757797,3 THE JIB,TWEED HEADS,2485,NSW,2,0,GOVERNMENT FLOOD MAPPING,L,L
