LGA_PID,LGA_NAME,STATE_PID,ST_ABBREV,COUNT_BY_GOV_FM,COUNT_BY_GOV_OD,COUNT_BY_INTERNAL_MODEL,COUNT_BY_3RD_PARTY,COUNT_LOW_AAD,COUNT_MEDIUM_AAD,COUNT_HIGH_AAD,COUNT_LOW_FREQUENCY,COUNT_MEDIUM_FREQUENCY,COUNT_HIGH_FREQUENCY,TOTAL_AAD,RANK_AAD
VIC123,GOLDEN PLAINS SHIRE,2,VIC,5,0,6168,0,6055,68,50,6083,63,27,165000,328
VIC126,GREATER GEELONG CITY,2,VIC,0,0,118478,0,114065,3113,1300,116316,731,1431,4375000,58
VIC165,BANYULE CITY,2,VIC,0,0,57862,0,57853,1,8,57854,3,5,38000,406
WA302,CITY OF BUNBURY,5,WA,8857,0,80,8886,4574,4309,54,4576,4307,54,3214000,76
WA331,SHIRE OF DUNDAS,5,WA,0,0,0,1190,0,0,0,0,0,0,1000,480
WA332,SHIRE OF WESTONIA,5,WA,0,0,537,0,528,9,0,527,2,8,4000,456
WA395,SHIRE OF BRUCE ROCK,5,WA,0,0,677,0,677,0,0,677,0,0,0,497
QLD40,CLONCURRY SHIRE,3,QLD,0,0,0,2523,0,0,0,0,0,0,1006000,176
SA100,MUNICIPAL COUNCIL OF ROXBY DOWNS,4,SA,0,0,0,2031,0,0,0,0,0,0,0,497
SA139,THE DC OF LOWER EYRE PENINSULA,4,SA,0,0,0,2438,0,0,0,0,0,0,10000,443
TAS66,CENTRAL COAST COUNCIL,6,TAS,0,0,9572,0,9017,163,392,9012,136,424,1070000,168
TAS69,CLARENCE CITY COUNCIL,6,TAS,112,0,27058,68,26164,763,243,26162,695,313,1979000,109
VIC101,MARIBYRNONG CITY,2,VIC,0,0,37814,0,36338,708,768,36573,371,870,3141000,78
VIC131,MORELAND CITY,2,VIC,0,0,77833,0,77714,94,25,77693,42,98,110000,351
WA329,SHIRE OF CORRIGIN,5,WA,0,0,556,0,554,2,0,554,0,2,2000,467
WA330,SHIRE OF COOLGARDIE,5,WA,0,0,0,1944,0,0,0,0,0,0,0,497
WA362,SHIRE OF BROOMEHILL-TAMBELLUP,5,WA,0,0,126,547,1,81,44,1,81,44,268000,287
NSW168,NARROMINE SHIRE COUNCIL,1,NSW,2251,0,39,757,322,1967,1,400,1890,0,1614000,132
NSW182,CLARENCE VALLEY COUNCIL,1,NSW,20741,0,2405,0,11425,2992,8729,20319,1297,1530,34276000,2
NSW257,QUEANBEYAN CITY COUNCIL,1,NSW,6601,0,13680,0,18719,861,701,19624,655,2,1034000,173
NSW297,HURSTVILLE CITY COUNCIL,1,NSW,2121,0,35732,0,37696,124,33,37817,36,0,145000,340
QLD104,MOUNT ISA CITY,3,QLD,0,0,0,9934,0,0,0,0,0,0,152000,337
QLD286,NORTH BURNETT REGIONAL,3,QLD,0,0,2289,2624,1166,379,744,1166,379,744,2169000,103
SA120,LIGHT REGIONAL COUNCIL,4,SA,0,0,0,4768,0,0,0,0,0,0,90000,363
SA125,THE DC OF MALLALA,4,SA,0,0,0,1784,0,0,0,0,0,0,328000,267
SA76,CITY OF MITCHAM,4,SA,6747,0,18801,4280,25447,72,29,25476,72,0,322000,269
SA84,THE CORPORATION OF THE CITY OF WHYALLA,4,SA,0,0,0,12322,0,0,0,0,0,0,4000,456
SA85,TOWN OF GAWLER,4,SA,0,0,0,10259,0,0,0,0,0,0,1113000,161
TAS80,MEANDER VALLEY COUNCIL,6,TAS,1812,0,6688,0,7070,893,537,7070,896,534,2090000,107
VIC127,CASEY CITY,2,VIC,0,0,110813,0,110264,422,127,110202,99,512,499000,234
VIC142,TOWONG SHIRE,2,VIC,75,0,2022,0,1982,113,2,2021,76,0,69000,375
VIC169,CENTRAL GOLDFIELDS SHIRE,2,VIC,879,0,5068,0,4690,1248,9,5037,910,0,721000,210
VIC96,HUME CITY,2,VIC,0,0,72530,0,72517,3,10,72519,1,10,51000,391
WA300,SHIRE OF LAVERTON,5,WA,0,0,0,396,0,0,0,0,0,0,0,497
WA322,SHIRE OF EXMOUTH,5,WA,0,0,0,1836,0,0,0,0,0,0,2000,467
WA369,TOWN OF EAST FREMANTLE,5,WA,0,3670,0,0,3668,2,0,3669,1,0,2000,467
